word,pos,grapheme,phoneme_real,total_freq
ей,1,е,je0,256521
ей,2,й,j,256521
ел,1,е,je0,8164
ел,2,л,l,8164
ем,1,е,je0,1814
ем,2,м,m,1814
ест,1,е,je0,3931
ест,2,с,s,3931
ест,3,т,t,3931
есть,1,е,je0,528061
есть,2,с,s',528061
есть,3,т,t',528061
есть,4,ь,-,528061
жаль,1,ж,zh,26307
жаль,2,а,a0,26307
жаль,3,л,l',26307
жаль,4,ь,-,26307
жан,1,ж,zh,2419
жан,2,а,a0,2419
жан,3,н,n,2419
жанр,1,ж,zh,2117
жанр,2,а,a0,2117
жанр,3,н,n,2117
жанр,4,р,r,2117
жар,1,ж,zh,3326
жар,2,а,a0,3326
жар,3,р,r,3326
жгли,1,ж,zh,1814
жгли,2,г,g,1814
жгли,3,л,l',1814
жгли,4,и,i0,1814
ждал,1,ж,zh,20663
ждал,2,д,d,20663
ждал,3,а,a0,20663
ждал,4,л,l,20663
ждать,1,ж,zh,22477
ждать,2,д,d,22477
ждать,3,а,a0,22477
ждать,4,т,t',22477
ждать,5,ь,-,22477
ждет,1,ж,zh,10785
ждет,2,д,d',10785
ждет,3,е,e0,10785
ждет,4,т,t,10785
жди,1,ж,zh,1814
жди,2,д,d',1814
жди,3,и,i0,1814
жду,1,ж,zh,8064
жду,2,д,d,8064
жду,3,у,u0,8064
ждут,1,ж,zh,8467
ждут,2,д,d,8467
ждут,3,у,u0,8467
ждут,4,т,t,8467
ждём,1,ж,zh,2217
ждём,2,д,d',2217
ждём,3,ё,o0,2217
ждём,4,м,m,2217
ждёт,1,ж,zh,7156
ждёт,2,д,d',7156
ждёт,3,ё,o0,7156
ждёт,4,т,t,7156
же,1,ж,zh,1378362
же,2,е,e0,1378362
жертв,1,ж,zh,3528
жертв,2,е,e0,3528
жертв,3,р,r,3528
жертв,4,т,t,3528
жертв,5,в,f,3528
жест,1,ж,zh,4938
жест,2,е,e0,4938
жест,3,с,s,4938
жест,4,т,t,4938
жечь,1,ж,zh,2217
жечь,2,е,e0,2217
жечь,3,ч,ch,2217
жечь,4,ь,-,2217
жив,1,ж,zh,12398
жив,2,и,y0,12398
жив,3,в,f,12398
жизнь,1,ж,zh,225376
жизнь,2,и,y0,225376
жизнь,3,з,z',225376
жизнь,4,н,n',225376
жизнь,5,ь,-,225376
жил,1,ж,zh,37999
жил,2,и,y0,37999
жил,3,л,l,37999
жить,1,ж,zh,84264
жить,2,и,y0,84264
жить,3,т,t',84264
жить,4,ь,-,84264
жорж,1,ж,zh,2318
